"genus_species","Family","mating_system","Haploid.Chrom.."
"Capsella_bursa-pastoris","Brassicaceae","sc","16"
"Capsella_orientalis","Brassicaceae","sc","8"
"Capsella_rubella","Brassicaceae","sc","8"
"Cardamine_angustata","Brassicaceae","sc","64"
"Cardamine_bellidifolia","Brassicaceae","sc","8"
"Cardamine_concatenata","Brassicaceae","sc","120"
"Cardamine_corymbosa","Brassicaceae","sc","24"
"Cardamine_flexuosa","Brassicaceae","sc","16"
"Cardamine_glacialis","Brassicaceae","sc","36"
"Cardamine_hirsuta","Brassicaceae","sc","8"
"Cardamine_impatiens","Brassicaceae","sc","8"
"Cardamine_scutata","Brassicaceae","sc","16"
"Carrichtera_annua","Brassicaceae","sc","8"
"Clypeola_aspera","Brassicaceae","sc","7"
"Clypeola_jonthlaspi","Brassicaceae","sc","16"
"Cochlearia_bavarica","Brassicaceae","sc","18"
"Cochlearia_danica","Brassicaceae","sc","21"
"Cochlearia_pyrenaica","Brassicaceae","sc","6"
"Conringia_orientalis","Brassicaceae","sc","7"
"Crambe_arborea","Brassicaceae","sc","15"
"Crucihimalaya_himalaica","Brassicaceae","sc","8"
"Crucihimalaya_wallichii","Brassicaceae","sc","8"
"Descurainia_incisa","Brassicaceae","sc","7"
"Descurainia_pinnata","Brassicaceae","sc","14"
"Descurainia_sophia","Brassicaceae","sc","14"
"Diptychocarpus_strictus","Brassicaceae","sc","7"
"Draba_aizoides","Brassicaceae","sc","8"
"Draba_alpina","Brassicaceae","sc","37"
"Draba_arctica","Brassicaceae","sc","32"
"Draba_cacuminum","Brassicaceae","sc","32"
"Draba_cinerea","Brassicaceae","sc","24"
"Draba_corymbosa","Brassicaceae","sc","64"
"Draba_crassifolia","Brassicaceae","sc","20"
"Draba_fladnizensis","Brassicaceae","sc","8"
"Draba_glabella","Brassicaceae","sc","32"
"Draba_incana","Brassicaceae","sc","16"
"Draba_incerta","Brassicaceae","sc","56"
"Draba_lactea","Brassicaceae","sc","24"
"Draba_magellanica","Brassicaceae","sc","32"
"Draba_micropetala","Brassicaceae","sc","16"
"Draba_nemorosa","Brassicaceae","sc","8"
"Draba_nivalis","Brassicaceae","sc","8"
"Draba_norvegica","Brassicaceae","sc","24"
"Draba_oxycarpa","Brassicaceae","sc","32"
"Draba_pauciflora","Brassicaceae","sc","16"
"Draba_subcapitata","Brassicaceae","sc","8"
"Erucaria_pinnata","Brassicaceae","sc","8"
"Erucastrum_abyssinicum","Brassicaceae","sc","16"
"Erucastrum_gallicum","Brassicaceae","sc","15"
"Erysimum_baeticum","Brassicaceae","sc","28"
"Erysimum_cheiranthoides","Brassicaceae","sc","8"
"Erysimum_incanum","Brassicaceae","sc","12"
"Erysimum_inconspicuum","Brassicaceae","sc","27"
"Erysimum_popovii","Brassicaceae","sc","14"
"Erysimum_repandum","Brassicaceae","sc","8"
"Eutrema_halophilum","Brassicaceae","sc","7"
"Heliophila_coronopifolia","Brassicaceae","sc","10"
"Hesperis_matronalis","Brassicaceae","sc","12"
"Hornungia_alpina","Brassicaceae","sc","6"
"Hornungia_petraea","Brassicaceae","sc","6"
"Iberis_odorata","Brassicaceae","sc","7"
"Iberis_umbellata","Brassicaceae","sc","9"
"Isatis_tinctoria","Brassicaceae","sc","14"
"Leavenworthia_crassa","Brassicaceae","sc","11"
"Leavenworthia_exigua","Brassicaceae","sc","11"
"Leavenworthia_torulosa","Brassicaceae","sc","15"
"Leavenworthia_uniflora","Brassicaceae","sc","15"
"Lepidium_campestre","Brassicaceae","sc","8"
"Lepidium_coronopus","Brassicaceae","sc","16"
"Lepidium_densiflorum","Brassicaceae","sc","16"
"Lepidium_latifolium","Brassicaceae","sc","12"
"Lepidium_meyenii","Brassicaceae","sc","32"
"Lepidium_perfoliatum","Brassicaceae","sc","8"
"Lepidium_pseudohyssopifolium","Brassicaceae","sc","16"
"Lepidium_ruderale","Brassicaceae","sc","16"
"Lepidium_spinosum","Brassicaceae","sc","12"
"Lobularia_arabica","Brassicaceae","sc","23"
"Lobularia_libyca","Brassicaceae","sc","11"
"Malcolmia_africana","Brassicaceae","sc","14"
"Malcolmia_chia","Brassicaceae","sc","16"
"Maresia_nana","Brassicaceae","sc","14"
"Matthiola_incana","Brassicaceae","sc","7"
"Myagrum_perfoliatum","Brassicaceae","sc","7"
"Nasturtium_microphyllum","Brassicaceae","sc","32"
"Nasturtium_officinale","Brassicaceae","sc","16"
"Neslia_paniculata","Brassicaceae","sc","7"
"Noccaea_caerulescens","Brassicaceae","sc","7"
"Noccaea_magellanica","Brassicaceae","sc","7"
"Notoceras_bicorne","Brassicaceae","sc","11"
"Olimarabidopsis_cabulica","Brassicaceae","sc","24"
"Pachycladon_novae-zelandiae","Brassicaceae","sc","10"
"Parrya_nudicaulis","Brassicaceae","sc","14"
"Paysonia_auriculata","Brassicaceae","sc","8"
"Physaria_arctica","Brassicaceae","sc","30"
"Polypsecadium_magellanicum","Brassicaceae","sc","9"
"Pringlea_antiscorbutica","Brassicaceae","sc","12"
"Rorippa_palustris","Brassicaceae","sc","16"
"Sandbergia_perplexa","Brassicaceae","sc","7"
"Sinapidendron_frutescens","Brassicaceae","sc","10"
"Sinapidendron_sempervivifolium","Brassicaceae","sc","10"
"Sinapis_alba","Brassicaceae","sc","12"
"Sisymbrium_altissimum","Brassicaceae","sc","7"
"Sisymbrium_erysimoides","Brassicaceae","sc","7"
"Sisymbrium_irio","Brassicaceae","sc","7"
"Sisymbrium_loeselii","Brassicaceae","sc","7"
"Sisymbrium_officinale","Brassicaceae","sc","7"
"Sisymbrium_orientale","Brassicaceae","sc","7"
"Stanleya_pinnata","Brassicaceae","sc","14"
"Streptanthus_tortuosus","Brassicaceae","sc","14"
"Teesdalia_nudicaulis","Brassicaceae","sc","18"
"Thlaspi_arvense","Brassicaceae","sc","7"
"Turritis_glabra","Brassicaceae","sc","6"
"Warea_carteri","Brassicaceae","sc","12"
"Yinshania_henryi","Brassicaceae","sc","6"
"Aethionema_grandiflorum","Brassicaceae","si","14"
"Arabidopsis_arenosa","Brassicaceae","si","16"
"Arabidopsis_halleri","Brassicaceae","si","8"
"Arabis_caucasica","Brassicaceae","si","8"
"Armoracia_rusticana","Brassicaceae","si","16"
"Barbarea_vulgaris","Brassicaceae","si","8"
"Biscutella_frutescens","Brassicaceae","si","9"
"Biscutella_glacialis","Brassicaceae","si","9"
"Biscutella_intermedia","Brassicaceae","si","9"
"Biscutella_laevigata","Brassicaceae","si","18"
"Biscutella_neustriaca","Brassicaceae","si","9"
"Biscutella_scaposa","Brassicaceae","si","9"
"Biscutella_sempervirens","Brassicaceae","si","9"
"Biscutella_valentina","Brassicaceae","si","18"
"Biscutella_variegata","Brassicaceae","si","27"
"Boechera_constancei","Brassicaceae","si","7"
"Brassica_aucheri","Brassicaceae","si","7"
"Brassica_cretica","Brassicaceae","si","9"
"Brassica_deflexa","Brassicaceae","si","7"
"Brassica_desnottesii","Brassicaceae","si","10"
"Brassica_elongata","Brassicaceae","si","11"
"Brassica_fruticulosa","Brassicaceae","si","8"
"Brassica_gravinae","Brassicaceae","si","10"
"Brassica_incana","Brassicaceae","si","9"
"Brassica_insularis","Brassicaceae","si","9"
"Brassica_macrocarpa","Brassicaceae","si","9"
"Brassica_maurorum","Brassicaceae","si","8"
"Brassica_nigra","Brassicaceae","si","8"
"Brassica_oleracea","Brassicaceae","si","9"
"Brassica_rapa","Brassicaceae","si","10"
"Brassica_repanda","Brassicaceae","si","10"
"Brassica_rupestris","Brassicaceae","si","9"
"Brassica_spinescens","Brassicaceae","si","8"
"Cakile_arabica","Brassicaceae","si","9"
"Cakile_arctica","Brassicaceae","si","9"
"Cakile_maritima","Brassicaceae","si","9"
"Capsella_grandiflora","Brassicaceae","si","8"
"Cardamine_bulbifera","Brassicaceae","si","48"
"Cardamine_heptaphylla","Brassicaceae","si","24"
"Cardamine_macrophylla","Brassicaceae","si","32"
"Cardamine_pratensis","Brassicaceae","si","16"
"Cochlearia_officinalis","Brassicaceae","si","12"
"Coincya_wrightii","Brassicaceae","si","12"
"Crambe_tatarica","Brassicaceae","si","30"
"Diplotaxis_catholica","Brassicaceae","si","9"
"Diplotaxis_erucoides","Brassicaceae","si","7"
"Diplotaxis_harra","Brassicaceae","si","13"
"Diplotaxis_tenuifolia","Brassicaceae","si","11"
"Draba_palanderiana","Brassicaceae","si","16"
"Enarthrocarpus_arcuatus","Brassicaceae","si","10"
"Erucaria_hispanica","Brassicaceae","si","8"
"Erucastrum_cardaminoides","Brassicaceae","si","9"
"Erucastrum_leucanthum","Brassicaceae","si","8"
"Erucastrum_nasturtiifolium","Brassicaceae","si","8"
"Erucastrum_varium","Brassicaceae","si","7"
"Erucastrum_virgatum","Brassicaceae","si","7"
"Erysimum_asperum","Brassicaceae","si","18"
"Erysimum_capitatum","Brassicaceae","si","18"
"Erysimum_concinnum","Brassicaceae","si","18"
"Erysimum_insulare","Brassicaceae","si","18"
"Erysimum_linifolium","Brassicaceae","si","7"
"Erysimum_teretifolium","Brassicaceae","si","18"
"Hesperis_tristis","Brassicaceae","si","7"
"Hirschfeldia_incana","Brassicaceae","si","7"
"Hormathophylla_spinosa","Brassicaceae","si","16"
"Iberis_pinnata","Brassicaceae","si","7"
"Iberis_sempervirens","Brassicaceae","si","11"
"Leavenworthia_stylosa","Brassicaceae","si","15"
"Lepidium_appelianum","Brassicaceae","si","8"
"Lepidium_chalepense","Brassicaceae","si","40"
"Lepidium_draba","Brassicaceae","si","32"
"Lepidium_fremontii","Brassicaceae","si","32"
"Lepidium_montanum","Brassicaceae","si","16"
"Matthiola_longipetala","Brassicaceae","si","7"
"Matthiola_parviflora","Brassicaceae","si","7"
"Matthiola_tricuspidata","Brassicaceae","si","7"
"Moricandia_arvensis","Brassicaceae","si","14"
"Orychophragmus_violaceus","Brassicaceae","si","12"
"Paysonia_densipila","Brassicaceae","si","8"
"Paysonia_lescurii","Brassicaceae","si","8"
"Physaria_bellii","Brassicaceae","si","4"
"Physaria_fendleri","Brassicaceae","si","6"
"Physaria_filiformis","Brassicaceae","si","7"
"Physaria_gordonii","Brassicaceae","si","6"
"Physaria_ludoviciana","Brassicaceae","si","5"
"Physaria_rollinsii","Brassicaceae","si","4"
"Raphanus_raphanistrum","Brassicaceae","si","9"
"Rapistrum_rugosum","Brassicaceae","si","8"
"Rorippa_amphibia","Brassicaceae","si","16"
"Rorippa_aquatica","Brassicaceae","si","12"
"Rorippa_austriaca","Brassicaceae","si","8"
"Rorippa_sylvestris","Brassicaceae","si","16"
"Sinapis_arvensis","Brassicaceae","si","9"
"Streptanthus_carinatus","Brassicaceae","si","14"
"Streptanthus_cutleri","Brassicaceae","si","14"
"Abrus_precatorius","Fabaceae","sc","11"
"Acacia_decurrens","Fabaceae","sc","13"
"Acacia_koa","Fabaceae","sc","26"
"Acacia_longifolia","Fabaceae","sc","13"
"Acacia_paradoxa","Fabaceae","sc","13"
"Acacia_saligna","Fabaceae","sc","13"
"Acacia_suaveolens","Fabaceae","sc","13"
"Adenanthera_pavonina","Fabaceae","sc","13"
"Adesmia_bicolor","Fabaceae","sc","10"
"Adesmia_punctata","Fabaceae","sc","10"
"Adesmia_riograndensis","Fabaceae","sc","10"
"Adesmia_tristis","Fabaceae","sc","10"
"Aeschynomene_afraspera","Fabaceae","sc","40"
"Aeschynomene_americana","Fabaceae","sc","10"
"Aeschynomene_brasiliana","Fabaceae","sc","10"
"Aeschynomene_brevipes","Fabaceae","sc","10"
"Aeschynomene_ciliata","Fabaceae","sc","11"
"Aeschynomene_deamii","Fabaceae","sc","10"
"Aeschynomene_denticulata","Fabaceae","sc","10"
"Aeschynomene_elegans","Fabaceae","sc","10"
"Aeschynomene_evenia","Fabaceae","sc","10"
"Aeschynomene_falcata","Fabaceae","sc","10"
"Aeschynomene_fluitans","Fabaceae","sc","19"
"Aeschynomene_histrix","Fabaceae","sc","10"
"Aeschynomene_indica","Fabaceae","sc","20"
"Aeschynomene_mollicula","Fabaceae","sc","10"
"Aeschynomene_montevidensis","Fabaceae","sc","10"
"Aeschynomene_paniculata","Fabaceae","sc","10"
"Aeschynomene_pratensis","Fabaceae","sc","10"
"Aeschynomene_schimperi","Fabaceae","sc","10"
"Aeschynomene_sensitiva","Fabaceae","sc","10"
"Aeschynomene_viscidula","Fabaceae","sc","10"
"Alysicarpus_glumaceus","Fabaceae","sc","8"
"Alysicarpus_monilifer","Fabaceae","sc","8"
"Alysicarpus_ovalifolius","Fabaceae","sc","11"
"Alysicarpus_scariosus","Fabaceae","sc","8"
"Alysicarpus_vaginalis","Fabaceae","sc","8"
"Ammopiptanthus_mongolicus","Fabaceae","sc","9"
"Amorpha_canescens","Fabaceae","sc","10"
"Amphicarpaea_bracteata","Fabaceae","sc","11"
"Amphicarpaea_edgeworthii","Fabaceae","sc","11"
"Anadenanthera_colubrina","Fabaceae","sc","13"
"Anagyris_foetida","Fabaceae","sc","9"
"Arachis_appressipila","Fabaceae","sc","10"
"Arachis_archeri","Fabaceae","sc","10"
"Arachis_batizocoi","Fabaceae","sc","10"
"Arachis_burkartii","Fabaceae","sc","10"
"Arachis_cardenasii","Fabaceae","sc","10"
"Arachis_correntina","Fabaceae","sc","10"
"Arachis_dardani","Fabaceae","sc","10"
"Arachis_decora","Fabaceae","sc","10"
"Arachis_duranensis","Fabaceae","sc","10"
"Arachis_gracilis","Fabaceae","sc","10"
"Arachis_hermannii","Fabaceae","sc","10"
"Arachis_hoehnei","Fabaceae","sc","10"
"Arachis_kempff-mercadoi","Fabaceae","sc","10"
"Arachis_kretschmeri","Fabaceae","sc","10"
"Arachis_magna","Fabaceae","sc","10"
"Arachis_major","Fabaceae","sc","10"
"Arachis_palustris","Fabaceae","sc","9"
"Arachis_pintoi","Fabaceae","sc","10"
"Arachis_prostrata","Fabaceae","sc","20"
"Arachis_pusilla","Fabaceae","sc","10"
"Arachis_stenosperma","Fabaceae","sc","10"
"Arachis_triseminata","Fabaceae","sc","10"
"Arachis_valida","Fabaceae","sc","10"
"Arachis_villosa","Fabaceae","sc","10"
"Arachis_williamsii","Fabaceae","sc","10"
"Astragalus_annularis","Fabaceae","sc","8"
"Astragalus_asterias","Fabaceae","sc","8"
"Astragalus_boeticus","Fabaceae","sc","15"
"Astragalus_canadensis","Fabaceae","sc","8"
"Astragalus_cymbicarpos","Fabaceae","sc","14"
"Astragalus_edulis","Fabaceae","sc","14"
"Astragalus_exscapus","Fabaceae","sc","8"
"Astragalus_filipes","Fabaceae","sc","11"
"Astragalus_guttatus","Fabaceae","sc","8"
"Astragalus_hamosus","Fabaceae","sc","22"
"Astragalus_holmgreniorum","Fabaceae","sc","11"
"Astragalus_humillimus","Fabaceae","sc","11"
"Astragalus_lonchocarpus","Fabaceae","sc","11"
"Astragalus_nitidiflorus","Fabaceae","sc","8"
"Astragalus_oxyglottis","Fabaceae","sc","8"
"Astragalus_schimperi","Fabaceae","sc","8"
"Astragalus_schmalhausenii","Fabaceae","sc","8"
"Astragalus_sesameus","Fabaceae","sc","8"
"Astragalus_tragacantha","Fabaceae","sc","8"
"Astragalus_tribuloides","Fabaceae","sc","8"
"Biserrula_pelecinus","Fabaceae","sc","8"
"Bowdichia_virgilioides","Fabaceae","sc","9"
"Butea_monosperma","Fabaceae","sc","9"
"Caesalpinia_pulcherrima","Fabaceae","sc","12"
"Cajanus_cajan","Fabaceae","sc","11"
"Cajanus_scarabaeoides","Fabaceae","sc","11"
"Calopogonium_mucunoides","Fabaceae","sc","18"
"Canavalia_ensiformis","Fabaceae","sc","11"
"Canavalia_plagiosperma","Fabaceae","sc","11"
"Caragana_arborescens","Fabaceae","sc","8"
"Caragana_korshinskii","Fabaceae","sc","8"
"Caragana_microphylla","Fabaceae","sc","8"
"Carmichaelia_williamsii","Fabaceae","sc","16"
"Centrolobium_tomentosum","Fabaceae","sc","9"
"Centrosema_bracteosum","Fabaceae","sc","10"
"Centrosema_brasilianum","Fabaceae","sc","10"
"Centrosema_pascuorum","Fabaceae","sc","11"
"Centrosema_plumieri","Fabaceae","sc","11"
"Centrosema_sagittatum","Fabaceae","sc","9"
"Centrosema_schottii","Fabaceae","sc","11"
"Centrosema_vexillatum","Fabaceae","sc","8"
"Centrosema_virginianum","Fabaceae","sc","9"
"Chamaecrista_absus","Fabaceae","sc","14"
"Chamaecrista_calycioides","Fabaceae","sc","8"
"Chamaecrista_flexuosa","Fabaceae","sc","8"
"Chamaecrista_hispidula","Fabaceae","sc","7"
"Chamaecrista_mimosoides","Fabaceae","sc","8"
"Chamaecrista_serpens","Fabaceae","sc","8"
"Cicer_arietinum","Fabaceae","sc","8"
"Clitoria_ternatea","Fabaceae","sc","8"
"Cologania_broussonetii","Fabaceae","sc","22"
"Colutea_arborescens","Fabaceae","sc","8"
"Coronilla_scorpioides","Fabaceae","sc","6"
"Crotalaria_brevidens","Fabaceae","sc","8"
"Crotalaria_incana","Fabaceae","sc","7"
"Crotalaria_micans","Fabaceae","sc","8"
"Crotalaria_pallida","Fabaceae","sc","8"
"Crotalaria_purshii","Fabaceae","sc","16"
"Crotalaria_rotundifolia","Fabaceae","sc","16"
"Crotalaria_spectabilis","Fabaceae","sc","8"
"Crotalaria_stipularia","Fabaceae","sc","16"
"Crotalaria_vitellina","Fabaceae","sc","8"
"Dahlstedtia_pentaphylla","Fabaceae","sc","11"
"Dahlstedtia_pinnata","Fabaceae","sc","11"
"Dalea_carthagenensis","Fabaceae","sc","7"
"Dalea_purpurea","Fabaceae","sc","7"
"Derris_elliptica","Fabaceae","sc","12"
"Desmanthus_illinoensis","Fabaceae","sc","14"
"Desmanthus_virgatus","Fabaceae","sc","14"
"Desmodium_batocaulon","Fabaceae","sc","11"
"Desmodium_cajanifolium","Fabaceae","sc","11"
"Desmodium_canadense","Fabaceae","sc","11"
"Desmodium_cinereum","Fabaceae","sc","11"
"Desmodium_cuneatum","Fabaceae","sc","11"
"Desmodium_distortum","Fabaceae","sc","11"
"Desmodium_glabrum","Fabaceae","sc","11"
"Desmodium_grahamii","Fabaceae","sc","11"
"Desmodium_heterocarpon","Fabaceae","sc","11"
"Desmodium_incanum","Fabaceae","sc","11"
"Desmodium_intortum","Fabaceae","sc","11"
"Desmodium_psilophyllum","Fabaceae","sc","11"
"Desmodium_scorpiurus","Fabaceae","sc","11"
"Desmodium_strigillosum","Fabaceae","sc","11"
"Desmodium_tortuosum","Fabaceae","sc","11"
"Desmodium_uncinatum","Fabaceae","sc","11"
"Dillwynia_tenuifolia","Fabaceae","sc","7"
"Ebenus_cretica","Fabaceae","sc","7"
"Erythrina_caffra","Fabaceae","sc","21"
"Erythrina_chiapasana","Fabaceae","sc","21"
"Erythrina_crista-galli","Fabaceae","sc","21"
"Erythrina_goldmanii","Fabaceae","sc","21"
"Erythrina_guatemalensis","Fabaceae","sc","21"
"Erythrina_humeana","Fabaceae","sc","21"
"Erythrina_latissima","Fabaceae","sc","21"
"Erythrina_leptorhiza","Fabaceae","sc","21"
"Erythrina_pallida","Fabaceae","sc","21"
"Erythrina_suberosa","Fabaceae","sc","21"
"Erythrina_velutina","Fabaceae","sc","21"
"Erythrophleum_suaveolens","Fabaceae","sc","14"
"Flemingia_lineata","Fabaceae","sc","10"
"Galactia_canescens","Fabaceae","sc","10"
"Galactia_dubia","Fabaceae","sc","10"
"Galactia_jussiaeana","Fabaceae","sc","10"
"Galactia_latisiliqua","Fabaceae","sc","10"
"Galactia_longifolia","Fabaceae","sc","10"
"Galactia_striata","Fabaceae","sc","10"
"Galactia_tenuiflora","Fabaceae","sc","11"
"Galactia_texana","Fabaceae","sc","11"
"Genista_monspessulana","Fabaceae","sc","23"
"Glycine_albicans","Fabaceae","sc","20"
"Glycine_argyrea","Fabaceae","sc","20"
"Glycine_clandestina","Fabaceae","sc","20"
"Glycine_falcata","Fabaceae","sc","20"
"Glycine_max","Fabaceae","sc","20"
"Glycine_tabacina","Fabaceae","sc","40"
"Glycine_tomentella","Fabaceae","sc","39"
"Hippocrepis_areolata","Fabaceae","sc","7"
"Hippocrepis_biflora","Fabaceae","sc","7"
"Hippocrepis_ciliata","Fabaceae","sc","7"
"Hippocrepis_multisiliquosa","Fabaceae","sc","7"
"Hippocrepis_unisiliquosa","Fabaceae","sc","7"
"Indigofera_atriceps","Fabaceae","sc","16"
"Indigofera_hirsuta","Fabaceae","sc","8"
"Indigofera_lespedezioides","Fabaceae","sc","8"
"Indigofera_microcarpa","Fabaceae","sc","8"
"Indigofera_spicata","Fabaceae","sc","8"
"Kennedia_carinata","Fabaceae","sc","11"
"Kennedia_nigricans","Fabaceae","sc","11"
"Kennedia_prorepens","Fabaceae","sc","11"
"Kennedia_prostrata","Fabaceae","sc","11"
"Kennedia_rubicunda","Fabaceae","sc","11"
"Kummerowia_stipulacea","Fabaceae","sc","10"
"Kummerowia_striata","Fabaceae","sc","11"
"Lablab_purpureus","Fabaceae","sc","11"
"Lathyrus_amphicarpos","Fabaceae","sc","7"
"Lathyrus_annuus","Fabaceae","sc","7"
"Lathyrus_aphaca","Fabaceae","sc","7"
"Lathyrus_basalticus","Fabaceae","sc","7"
"Lathyrus_belinensis","Fabaceae","sc","7"
"Lathyrus_cassius","Fabaceae","sc","7"
"Lathyrus_chloranthus","Fabaceae","sc","7"
"Lathyrus_chrysanthus","Fabaceae","sc","7"
"Lathyrus_cicera","Fabaceae","sc","7"
"Lathyrus_ciliolatus","Fabaceae","sc","7"
"Lathyrus_gorgoni","Fabaceae","sc","7"
"Lathyrus_hierosolymitanus","Fabaceae","sc","7"
"Lathyrus_hirsutus","Fabaceae","sc","7"
"Lathyrus_inconspicuus","Fabaceae","sc","7"
"Lathyrus_latifolius","Fabaceae","sc","7"
"Lathyrus_nissolia","Fabaceae","sc","7"
"Lathyrus_ochrus","Fabaceae","sc","7"
"Lathyrus_odoratus","Fabaceae","sc","7"
"Lathyrus_sativus","Fabaceae","sc","7"
"Lathyrus_saxatilis","Fabaceae","sc","7"
"Lathyrus_setifolius","Fabaceae","sc","7"
"Lathyrus_sphaericus","Fabaceae","sc","7"
"Lathyrus_stenophyllus","Fabaceae","sc","7"
"Lathyrus_tingitanus","Fabaceae","sc","7"
"Lens_culinaris","Fabaceae","sc","7"
"Lespedeza_bicolor","Fabaceae","sc","11"
"Lespedeza_capitata","Fabaceae","sc","10"
"Lespedeza_cuneata","Fabaceae","sc","10"
"Lespedeza_davurica","Fabaceae","sc","21"
"Lespedeza_floribunda","Fabaceae","sc","11"
"Lespedeza_inschanica","Fabaceae","sc","10"
"Lespedeza_repens","Fabaceae","sc","10"
"Lespedeza_stuevei","Fabaceae","sc","10"
"Lespedeza_virgata","Fabaceae","sc","11"
"Lespedeza_virginica","Fabaceae","sc","10"
"Leucaena_diversifolia","Fabaceae","sc","28"
"Lonchocarpus_guatemalensis","Fabaceae","sc","11"
"Lonchocarpus_lanceolatus","Fabaceae","sc","11"
"Lotononis_laxa","Fabaceae","sc","9"
"Lotononis_leptoloba","Fabaceae","sc","9"
"Lotononis_macrosepala","Fabaceae","sc","9"
"Lotononis_maximiliani","Fabaceae","sc","9"
"Lotus_angustissimus","Fabaceae","sc","6"
"Lotus_conimbricensis","Fabaceae","sc","6"
"Lotus_edulis","Fabaceae","sc","7"
"Lotus_halophilus","Fabaceae","sc","7"
"Lotus_krylovii","Fabaceae","sc","6"
"Lotus_ornithopodioides","Fabaceae","sc","7"
"Lotus_palustris","Fabaceae","sc","6"
"Lotus_parviflorus","Fabaceae","sc","6"
"Lotus_peregrinus","Fabaceae","sc","14"
"Lotus_weilleri","Fabaceae","sc","7"
"Lupinus_angustifolius","Fabaceae","sc","20"
"Lupinus_arboreus","Fabaceae","sc","24"
"Lupinus_gibertianus","Fabaceae","sc","18"
"Lupinus_luteus","Fabaceae","sc","26"
"Lupinus_mutabilis","Fabaceae","sc","24"
"Lupinus_nanus","Fabaceae","sc","24"
"Lupinus_palaestinus","Fabaceae","sc","21"
"Lupinus_perennis","Fabaceae","sc","24"
"Lupinus_pilosus","Fabaceae","sc","21"
"Lupinus_succulentus","Fabaceae","sc","24"
"Lupinus_sulphureus","Fabaceae","sc","24"
"Lupinus_texensis","Fabaceae","sc","18"
"Lupinus_villosus","Fabaceae","sc","26"
"Macroptilium_atropurpureum","Fabaceae","sc","11"
"Macroptilium_bracteatum","Fabaceae","sc","11"
"Macroptilium_erythroloma","Fabaceae","sc","11"
"Macroptilium_gibbosifolium","Fabaceae","sc","11"
"Macroptilium_gracile","Fabaceae","sc","11"
"Macroptilium_lathyroides","Fabaceae","sc","11"
"Macroptilium_panduratum","Fabaceae","sc","11"
"Macrotyloma_africanum","Fabaceae","sc","10"
"Macrotyloma_axillare","Fabaceae","sc","10"
"Macrotyloma_uniflorum","Fabaceae","sc","10"
"Medicago_arabica","Fabaceae","sc","8"
"Medicago_arborea","Fabaceae","sc","16"
"Medicago_blancheana","Fabaceae","sc","8"
"Medicago_brachycarpa","Fabaceae","sc","8"
"Medicago_constricta","Fabaceae","sc","7"
"Medicago_coronata","Fabaceae","sc","8"
"Medicago_doliata","Fabaceae","sc","8"
"Medicago_granadensis","Fabaceae","sc","8"
"Medicago_heyniana","Fabaceae","sc","8"
"Medicago_hybrida","Fabaceae","sc","8"
"Medicago_intertexta","Fabaceae","sc","8"
"Medicago_laciniata","Fabaceae","sc","8"
"Medicago_lanigera","Fabaceae","sc","8"
"Medicago_littoralis","Fabaceae","sc","8"
"Medicago_lupulina","Fabaceae","sc","8"
"Medicago_medicaginoides","Fabaceae","sc","8"
"Medicago_minima","Fabaceae","sc","8"
"Medicago_monantha","Fabaceae","sc","16"
"Medicago_murex","Fabaceae","sc","7"
"Medicago_muricoleptis","Fabaceae","sc","8"
"Medicago_noeana","Fabaceae","sc","8"
"Medicago_orbicularis","Fabaceae","sc","8"
"Medicago_orthoceras","Fabaceae","sc","14"
"Medicago_polyceratia","Fabaceae","sc","14"
"Medicago_polymorpha","Fabaceae","sc","7"
"Medicago_praecox","Fabaceae","sc","8"
"Medicago_radiata","Fabaceae","sc","8"
"Medicago_rigidula","Fabaceae","sc","7"
"Medicago_rigiduloides","Fabaceae","sc","7"
"Medicago_rotata","Fabaceae","sc","8"
"Medicago_rugosa","Fabaceae","sc","16"
"Medicago_sativa","Fabaceae","sc","16"
"Medicago_sauvagei","Fabaceae","sc","8"
"Medicago_scutellata","Fabaceae","sc","16"
"Medicago_secundiflora","Fabaceae","sc","8"
"Medicago_soleirolii","Fabaceae","sc","8"
"Medicago_sphaerocarpos","Fabaceae","sc","8"
"Medicago_suffruticosa","Fabaceae","sc","8"
"Medicago_tenoreana","Fabaceae","sc","8"
"Medicago_tornata","Fabaceae","sc","8"
"Medicago_truncatula","Fabaceae","sc","8"
"Medicago_turbinata","Fabaceae","sc","8"
"Melilotus_altissimus","Fabaceae","sc","8"
"Melilotus_elegans","Fabaceae","sc","8"
"Melilotus_indicus","Fabaceae","sc","8"
"Melilotus_infestus","Fabaceae","sc","8"
"Melilotus_officinalis","Fabaceae","sc","8"
"Melilotus_polonicus","Fabaceae","sc","8"
"Melilotus_segetalis","Fabaceae","sc","8"
"Melilotus_sulcatus","Fabaceae","sc","8"
"Melilotus_wolgicus","Fabaceae","sc","8"
"Mimosa_pigra","Fabaceae","sc","13"
"Neonotonia_wightii","Fabaceae","sc","11"
"Neptunia_monosperma","Fabaceae","sc","14"
"Neptunia_plena","Fabaceae","sc","36"
"Neptunia_pubescens","Fabaceae","sc","14"
"Onobrychis_aequidentata","Fabaceae","sc","7"
"Onobrychis_caput-galli","Fabaceae","sc","7"
"Onobrychis_crista-galli","Fabaceae","sc","8"
"Onobrychis_micrantha","Fabaceae","sc","8"
"Onobrychis_squarrosa","Fabaceae","sc","16"
"Onobrychis_viciifolia","Fabaceae","sc","14"
